event_id,event_name,event_url,status_code,start_date,segment,genre,subgenre,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lon,venue_upcoming_events,venue_market_name,promoter_name,artist_name,artist_num_links,artist_num_images,price_min,price_max,offers_exist,seatmap_exists
1A9ZkGNGkd4B4qR,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-23-2026/event/17006323D5E9576F,onsale,2026-01-23,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4BPqg,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-24-2026/event/17006323D5EA5775,onsale,2026-01-24,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4BPqy,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-30-2026/event/17006323D5EA5779,onsale,2026-01-30,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4BPqH,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-01-31-2026/event/17006323D5EA577C,onsale,2026-01-31,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4BgrZ,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-20-2026/event/17006323D5EB5780,onsale,2026-02-20,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4Bgr7,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-21-2026/event/17006323D5EB5784,onsale,2026-02-21,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4Bgr6,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-27-2026/event/17006323D5EB5787,onsale,2026-02-27,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4DAr5,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-28-2026/event/17006323D5EC578B,onsale,2026-02-28,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4DAr4,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-03-20-2026/event/17006323D5EC5795,onsale,2026-03-20,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkd4DArO,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-03-21-2026/event/17006323D5EC57A0,onsale,2026-03-21,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
